period,zone,scale,year,month,deviation
1915-05-01,1,1,1915,5,-0.06
1915-06-01,1,1,1915,6,-0.22
1915-07-01,1,1,1915,7,-0.12
1915-08-01,1,1,1915,8,-0.22
1915-09-01,1,1,1915,9,-0.21
1915-10-01,1,1,1915,10,-0.24
1915-11-01,1,1,1915,11,-0.13
1915-12-01,1,1,1915,12,-0.22
1916-01-01,1,1,1916,1,-0.12
1916-02-01,1,1,1916,2,-0.14
1916-03-01,1,1,1916,3,-0.28
1916-04-01,1,1,1916,4,-0.3
1916-05-01,1,1,1916,5,-0.34
1916-06-01,1,1,1916,6,-0.49
1916-07-01,1,1,1916,7,-0.37
1916-08-01,1,1,1916,8,-0.28
1916-09-01,1,1,1916,9,-0.36
1916-10-01,1,1,1916,10,-0.33
1916-11-01,1,1,1916,11,-0.46
1916-12-01,1,1,1916,12,-0.82
1917-01-01,1,1,1917,1,-0.57
1917-02-01,1,1,1917,2,-0.63
1917-03-01,1,1,1917,3,-0.63
1917-04-01,1,1,1917,4,-0.55
1917-05-01,1,1,1917,5,-0.55
1917-06-01,1,1,1917,6,-0.43
1917-07-01,1,1,1917,7,-0.25
1917-08-01,1,1,1917,8,-0.22
1917-09-01,1,1,1917,9,-0.23
1917-10-01,1,1,1917,10,-0.44
1917-11-01,1,1,1917,11,-0.33
1917-12-01,1,1,1917,12,-0.67
1918-01-01,1,1,1918,1,-0.47
1918-02-01,1,1,1918,2,-0.34
1918-03-01,1,1,1918,3,-0.24
1918-04-01,1,1,1918,4,-0.44
1918-05-01,1,1,1918,5,-0.42
1918-06-01,1,1,1918,6,-0.36
1918-07-01,1,1,1918,7,-0.31
1918-08-01,1,1,1918,8,-0.31
1918-09-01,1,1,1918,9,-0.17
1918-10-01,1,1,1918,10,-0.06
1918-11-01,1,1,1918,11,-0.11
1918-12-01,1,1,1918,12,-0.29
1919-01-01,1,1,1919,1,-0.2
1919-02-01,1,1,1919,2,-0.24
1919-03-01,1,1,1919,3,-0.21
1919-04-01,1,1,1919,4,-0.12
1919-05-01,1,1,1919,5,-0.28
1919-06-01,1,1,1919,6,-0.36
1919-07-01,1,1,1919,7,-0.29
1919-08-01,1,1,1919,8,-0.33
1919-09-01,1,1,1919,9,-0.25
1919-10-01,1,1,1919,10,-0.2
1919-11-01,1,1,1919,11,-0.41
1919-12-01,1,1,1919,12,-0.42
1920-01-01,1,1,1920,1,-0.24
1920-02-01,1,1,1920,2,-0.26
1920-03-01,1,1,1920,3,-0.12
1920-04-01,1,1,1920,4,-0.24
1920-05-01,1,1,1920,5,-0.27
1920-06-01,1,1,1920,6,-0.36
1920-07-01,1,1,1920,7,-0.3
1920-08-01,1,1,1920,8,-0.26
1920-09-01,1,1,1920,9,-0.22
1920-10-01,1,1,1920,10,-0.26
1920-11-01,1,1,1920,11,-0.27
1920-12-01,1,1,1920,12,-0.46
1921-01-01,1,1,1921,1,-0.04
1921-02-01,1,1,1921,2,-0.17
1921-03-01,1,1,1921,3,-0.23
1921-04-01,1,1,1921,4,-0.3
1921-05-01,1,1,1921,5,-0.3
1921-06-01,1,1,1921,6,-0.27
1921-07-01,1,1,1921,7,-0.14
1921-08-01,1,1,1921,8,-0.26
1921-09-01,1,1,1921,9,-0.19
1921-10-01,1,1,1921,10,-0.03
1921-11-01,1,1,1921,11,-0.14
1921-12-01,1,1,1921,12,-0.17
1922-01-01,1,1,1922,1,-0.33
1922-02-01,1,1,1922,2,-0.44
1922-03-01,1,1,1922,3,-0.15
1922-04-01,1,1,1922,4,-0.23
1922-05-01,1,1,1922,5,-0.33
1922-06-01,1,1,1922,6,-0.31
1922-07-01,1,1,1922,7,-0.27
1922-08-01,1,1,1922,8,-0.32
1922-09-01,1,1,1922,9,-0.36
1922-10-01,1,1,1922,10,-0.32
1922-11-01,1,1,1922,11,-0.14
1922-12-01,1,1,1922,12,-0.19
1923-01-01,1,1,1923,1,-0.27
1923-02-01,1,1,1923,2,-0.39
1923-03-01,1,1,1923,3,-0.33
1923-04-01,1,1,1923,4,-0.4
1923-05-01,1,1,1923,5,-0.33
1923-06-01,1,1,1923,6,-0.29
1923-07-01,1,1,1923,7,-0.3
1923-08-01,1,1,1923,8,-0.33
1923-09-01,1,1,1923,9,-0.31
1923-10-01,1,1,1923,10,-0.13
1923-11-01,1,1,1923,11,-0.02
1923-12-01,1,1,1923,12,-0.04
1924-01-01,1,1,1924,1,-0.23
1924-02-01,1,1,1924,2,-0.24
1924-03-01,1,1,1924,3,-0.08
1924-04-01,1,1,1924,4,-0.31
1924-05-01,1,1,1924,5,-0.18
1924-06-01,1,1,1924,6,-0.26
1924-07-01,1,1,1924,7,-0.29
1924-08-01,1,1,1924,8,-0.36
1924-09-01,1,1,1924,9,-0.32
1924-10-01,1,1,1924,10,-0.35
1924-11-01,1,1,1924,11,-0.21
1924-12-01,1,1,1924,12,-0.43
1925-01-01,1,1,1925,1,-0.38
1925-02-01,1,1,1925,2,-0.4
1925-03-01,1,1,1925,3,-0.28
1925-04-01,1,1,1925,4,-0.26
1925-05-01,1,1,1925,5,-0.29
1925-06-01,1,1,1925,6,-0.32
1925-07-01,1,1,1925,7,-0.27
1925-08-01,1,1,1925,8,-0.2
1925-09-01,1,1,1925,9,-0.2
1925-10-01,1,1,1925,10,-0.17
1925-11-01,1,1,1925,11,0.05
1925-12-01,1,1,1925,12,0.06
1926-01-01,1,1,1926,1,0.2
1926-02-01,1,1,1926,2,0.03
1926-03-01,1,1,1926,3,0.11
1926-04-01,1,1,1926,4,-0.12
1926-05-01,1,1,1926,5,-0.23
1926-06-01,1,1,1926,6,-0.26
1926-07-01,1,1,1926,7,-0.27
1926-08-01,1,1,1926,8,-0.13
1926-09-01,1,1,1926,9,-0.14
1926-10-01,1,1,1926,10,-0.11
1926-11-01,1,1,1926,11,-0.07
1926-12-01,1,1,1926,12,-0.29
1927-01-01,1,1,1927,1,-0.27
1927-02-01,1,1,1927,2,-0.18
1927-03-01,1,1,1927,3,-0.38
1927-04-01,1,1,1927,4,-0.3
1927-05-01,1,1,1927,5,-0.25
1927-06-01,1,1,1927,6,-0.28
1927-07-01,1,1,1927,7,-0.18
1927-08-01,1,1,1927,8,-0.24
1927-09-01,1,1,1927,9,-0.13
1927-10-01,1,1,1927,10,-0.01
1927-11-01,1,1,1927,11,-0.05
1927-12-01,1,1,1927,12,-0.33
1928-01-01,1,1,1928,1,-0.02
1928-02-01,1,1,1928,2,-0.09
1928-03-01,1,1,1928,3,-0.25
1928-04-01,1,1,1928,4,-0.27
1928-05-01,1,1,1928,5,-0.3
1928-06-01,1,1,1928,6,-0.39
1928-07-01,1,1,1928,7,-0.19
1928-08-01,1,1,1928,8,-0.22
1928-09-01,1,1,1928,9,-0.21
1928-10-01,1,1,1928,10,-0.18
1928-11-01,1,1,1928,11,-0.09
1928-12-01,1,1,1928,12,-0.16
1929-01-01,1,1,1929,1,-0.45
1929-02-01,1,1,1929,2,-0.58
1929-03-01,1,1,1929,3,-0.32
1929-04-01,1,1,1929,4,-0.41
1929-05-01,1,1,1929,5,-0.38
1929-06-01,1,1,1929,6,-0.44
1929-07-01,1,1,1929,7,-0.37
1929-08-01,1,1,1929,8,-0.32
1929-09-01,1,1,1929,9,-0.25
1929-10-01,1,1,1929,10,-0.14
1929-11-01,1,1,1929,11,-0.11
1929-12-01,1,1,1929,12,-0.54
1930-01-01,1,1,1930,1,-0.29
1930-02-01,1,1,1930,2,-0.26
1930-03-01,1,1,1930,3,-0.11
1930-04-01,1,1,1930,4,-0.25
1930-05-01,1,1,1930,5,-0.24
1930-06-01,1,1,1930,6,-0.22
1930-07-01,1,1,1930,7,-0.21
1930-08-01,1,1,1930,8,-0.15
1930-09-01,1,1,1930,9,-0.15
1930-10-01,1,1,1930,10,-0.12
1930-11-01,1,1,1930,11,0.18
1930-12-01,1,1,1930,12,-0.05
1931-01-01,1,1,1931,1,-0.1
1931-02-01,1,1,1931,2,-0.2
1931-03-01,1,1,1931,3,-0.1
1931-04-01,1,1,1931,4,-0.22
1931-05-01,1,1,1931,5,-0.19
1931-06-01,1,1,1931,6,-0.08
1931-07-01,1,1,1931,7,-0.03
1931-08-01,1,1,1931,8,-0.03
1931-09-01,1,1,1931,9,-0.07
1931-10-01,1,1,1931,10,0.05
1931-11-01,1,1,1931,11,-0.06
1931-12-01,1,1,1931,12,-0.05
1932-01-01,1,1,1932,1,0.16
1932-02-01,1,1,1932,2,-0.16
1932-03-01,1,1,1932,3,-0.17
1932-04-01,1,1,1932,4,-0.05
1932-05-01,1,1,1932,5,-0.17
1932-06-01,1,1,1932,6,-0.28
1932-07-01,1,1,1932,7,-0.24
1932-08-01,1,1,1932,8,-0.22
1932-09-01,1,1,1932,9,-0.1
1932-10-01,1,1,1932,10,-0.08
1932-11-01,1,1,1932,11,-0.27
1932-12-01,1,1,1932,12,-0.25
1933-01-01,1,1,1933,1,-0.23
1933-02-01,1,1,1933,2,-0.29
1933-03-01,1,1,1933,3,-0.29
1933-04-01,1,1,1933,4,-0.24
1933-05-01,1,1,1933,5,-0.28
1933-06-01,1,1,1933,6,-0.34
1933-07-01,1,1,1933,7,-0.21
1933-08-01,1,1,1933,8,-0.23
1933-09-01,1,1,1933,9,-0.29
1933-10-01,1,1,1933,10,-0.25
1933-11-01,1,1,1933,11,-0.3
1933-12-01,1,1,1933,12,-0.44
1934-01-01,1,1,1934,1,-0.21
1934-02-01,1,1,1934,2,-0.02
1934-03-01,1,1,1934,3,-0.29
1934-04-01,1,1,1934,4,-0.31
1934-05-01,1,1,1934,5,-0.09
1934-06-01,1,1,1934,6,-0.15
1934-07-01,1,1,1934,7,-0.1
1934-08-01,1,1,1934,8,-0.12
1934-09-01,1,1,1934,9,-0.15
1934-10-01,1,1,1934,10,-0.06
1934-11-01,1,1,1934,11,0.04
1934-12-01,1,1,1934,12,-0.02
1935-01-01,1,1,1935,1,-0.33
1935-02-01,1,1,1935,2,0.14
1935-03-01,1,1,1935,3,-0.14
1935-04-01,1,1,1935,4,-0.36
